name,salary,season,team,shoots,height_cm,weight_kg
Andre Iguodala,12868632,2014,Golden State Warriors,Right,198.12,93.978
Andre Iguodala,12289544,2015,Golden State Warriors,Right,198.12,93.978
Andre Iguodala,11710456,2016,Golden State Warriors,Right,198.12,93.978
Andre Iguodala,11131368,2017,Golden State Warriors,Right,198.12,93.978
Andre Iguodala,14814815,2018,Golden State Warriors,Right,198.12,93.978
Andre Miller,1682280,2000,Cleveland Cavaliers,Right,187.96,90.8
Andre Miller,1808400,2001,Cleveland Cavaliers,Right,187.96,90.8
Andre Miller,1934520,2002,Cleveland Cavaliers,Right,187.96,90.8
Andre Miller,2460709,2003,Los Angeles Clippers,Right,187.96,90.8
Andre Miller,8000000,2004,Denver Nuggets,Right,187.96,90.8
Andre Miller,7366667,2005,Denver Nuggets,Right,187.96,90.8
Andre Miller,8100000,2006,Denver Nuggets,Right,187.96,90.8
Andre Miller,8733333,2007,Philadelphia 76ers,Right,187.96,90.8
Andre Miller,9366666,2008,Philadelphia 76ers,Right,187.96,90.8
Andre Miller,10333334,2009,Philadelphia 76ers,Right,187.96,90.8
Andre Miller,6730800,2010,Portland Trail Blazers,Right,187.96,90.8
Andre Miller,7269264,2011,Portland Trail Blazers,Right,187.96,90.8
Andre Miller,7807728,2012,Denver Nuggets,Right,187.96,90.8
Andre Miller,5000000,2013,Denver Nuggets,Right,187.96,90.8
Andre Miller,5000000,2014,Denver Nuggets,Right,187.96,90.8
Andre Miller,4625000,2015,Sacramento Kings,Right,187.96,90.8
Andre Miller,1499187,2016,Minnesota Timberwolves,Right,187.96,90.8
Andre Miller,396844,2016,San Antonio Spurs,Right,187.96,90.8
Andre Owens,398762,2006,Utah Jazz,Right,193.04,90.8
Andre Owens,676800,2007,Golden State Warriors,Right,193.04,90.8
Andre Owens,687456,2008,Indiana Pacers,Right,193.04,90.8
Andre Roberson,1110840,2014,Oklahoma City Thunder,Right,200.66,95.34
Andre Roberson,1160880,2015,Oklahoma City Thunder,Right,200.66,95.34
Andre Roberson,1210800,2016,Oklahoma City Thunder,Right,200.66,95.34
Andre Roberson,2183072,2017,Oklahoma City Thunder,Right,200.66,95.34
Andre Roberson,9259259,2018,Oklahoma City Thunder,Right,200.66,95.34
Andrea Bargnani,4501200,2007,Toronto Raptors,Right,213.36,102.15
Andrea Bargnani,4838880,2008,Toronto Raptors,Right,213.36,102.15
Andrea Bargnani,5176440,2009,Toronto Raptors,Right,213.36,102.15
Andrea Bargnani,6527491,2010,Toronto Raptors,Right,213.36,102.15
Andrea Bargnani,8500000,2011,Toronto Raptors,Right,213.36,102.15
Andrea Bargnani,9250000,2012,Toronto Raptors,Right,213.36,102.15
Andrea Bargnani,10000000,2013,Toronto Raptors,Right,213.36,102.15
Andrea Bargnani,11862500,2014,New York Knicks,Right,213.36,102.15
Andrea Bargnani,11500000,2015,New York Knicks,Right,213.36,102.15
Andrea Bargnani,1039298,2016,Brooklyn Nets,Right,213.36,102.15
Andrea Bargnani,323599,2017,Brooklyn Nets,Right,213.36,102.15
