name,shoots,height_cm,weight_kg
Gary Grant,Right,190.5,83.99
Gary Harris,Right,193.04,95.34
Gary Neal,Right,193.04,95.34
Gary Payton,Right,193.04,81.72
Gary Trent,Right,203.2,113.5
Geno Carlisle,Right,190.5,81.72
George Hill,Right,187.96,81.72
George Lynch,Right,203.2,98.972
George McCloud,Right,198.12,93.07
Gerald Fitch,Right,190.5,85.352
Gerald Green,Right,203.2,90.8
Gerald Henderson,Right,195.58,97.61
Gerald Henderson,Right,195.58,97.61
Gerald Wallace,Right,200.66,97.61
Gerard King,Right,205.74,104.42
Gheorghe Muresan,Right,231.14,137.562
Giannis Antetokounmpo,Right,210.82,98.518
Gilbert Arenas,Right,190.5,86.714
Glen Davis,Right,205.74,131.206
Glen Rice,Right,200.66,97.61
Glenn Robinson,Right,200.66,102.15
Glenn Robinson III,Right,200.66,100.788
Goran Dragic,Left,190.5,86.26
Gordan Giricek,Right,198.12,95.34
Gordon Hayward,Right,203.2,93.978
Gorgui Dieng,Right,210.82,111.23
Grant Hill,Right,203.2,102.15
Grant Jerrett,Right,208.28,106.69
Grant Long,Right,203.2,102.15
Greg Anthony,Left,182.88,79.904
Greg Buckner,Right,193.04,95.34
Greg Foster,Right,210.82,108.96
Greg Monroe,Left,210.82,114.862
Greg Oden,Right,213.36,113.5
Greg Ostertag,Right,218.44,127.12
Greg Smith,Right,208.28,113.5
Greg Smith,Right,208.28,113.5
Greg Stiemsma,Right,210.82,118.04
Greivis Vasquez,Right,198.12,90.8
Guillermo Diaz,Right,187.96,87.168
Gustavo Ayon,Right,208.28,113.5
Guy Rucker,Right,210.82,120.31
Ha Seung-Jin,Right,220.98,138.47
Hakeem Olajuwon,Right,213.36,115.77
Hakim Warrick,Right,205.74,99.426
Hamady N'Diaye,Right,213.36,106.69
Hamed Haddadi,Right,218.44,115.316
Hanno Mottola,Right,210.82,112.138
Harold Jamison,Right,203.2,118.04
Harrison Barnes,Right,203.2,95.34
Hasheem Thabeet,Right,220.98,119.402
Hassan Adams,Right,193.04,99.88
Hassan Whiteside,Right,213.36,106.69
Haywoode Workman,Right,187.96,81.72
Hedo Turkoglu,Right,208.28,99.88
Henry Sims,Right,208.28,111.23
Henry Walker,Right,198.12,99.88
Hersey Hawkins,Right,190.5,86.26
Hilton Armstrong,Right,210.82,106.69
Hiram Fuller,Right,205.74,108.96
Hollis Thompson,Right,203.2,93.524
Horace Grant,Right,208.28,97.61
Horace Jenkins,Right,185.42,81.72
Howard Eisley,Right,187.96,80.358
