Player,Season,Team,Salary,PPG,Height,Weight,PPM
Tim Duncan,2012,San Antonio Spurs,21164619,15.43103,211,113,0.54774
Tim Duncan,2013,San Antonio Spurs,9638554,17.78261,211,113,0.59047
Tim Duncan,2014,San Antonio Spurs,10361446,15.12162,211,113,0.51854
Tim Duncan,2015,San Antonio Spurs,10000000,13.8961,211,113,0.48047
Tim Duncan,2016,San Antonio Spurs,5000000,8.55738,211,113,0.33984
Tim Frazier,2015,TOT,59686,5.18182,185,77,0.23849
Tim Frazier,2015,Philadelphia 76ers,59686,5.66667,185,77,0.19883
Tim Frazier,2015,Portland Trail Blazers,59686,4.6,185,77,0.33824
Tim Frazier,2016,TOT,845059,5.11765,185,77,0.35223
Tim Frazier,2016,Portland Trail Blazers,845059,1.45714,185,77,0.1875
Tim Frazier,2016,New Orleans Pelicans,845059,13.125,185,77,0.44776
Tim Hardaway,2000,Miami Heat,4800000,13.38462,183,79,0.41627
Tim Hardaway,2001,Miami Heat,12000000,14.93506,183,79,0.44011
Tim Hardaway,2002,TOT,3360390,9.58824,183,79,0.40725
Tim Hardaway,2002,Dallas Mavericks,3360390,9.59259,183,79,0.40596
Tim Hardaway,2002,Denver Nuggets,3360390,9.57143,183,79,0.41231
Tim Hardaway,2003,Indiana Pacers,1000000,4.9,183,79,0.38583
Tim James,2000,Miami Heat,728520,2.75,201,96,0.47826
Tim James,2001,Charlotte Hornets,783120,1.5,201,96,0.22843
Tim James,2002,Philadelphia 76ers,837720,1.33333,201,96,0.29268
Tim Legler,2000,Golden State Warriors,1119000,3.34783,193,91,0.27113
Tim Ohlbrecht,2013,Houston Rockets,144867,1,211,116,0.25
Tim Thomas,2000,Milwaukee Bucks,2098560,11.8125,208,104,0.45151
Tim Thomas,2001,Milwaukee Bucks,8510000,12.55263,208,104,0.45733
Tim Thomas,2002,Milwaukee Bucks,9675000,11.74324,208,104,0.43734
Tim Thomas,2003,Milwaukee Bucks,10750000,13.325,208,104,0.45208
Tim Thomas,2004,TOT,11825000,14.69697,208,104,0.46434
Tim Thomas,2004,Milwaukee Bucks,11825000,14.09524,208,104,0.4408
Tim Thomas,2004,New York Knicks,11825000,15.75,208,104,0.5067
Tim Thomas,2005,New York Knicks,12900000,11.98592,208,104,0.43866
Tim Thomas,2006,TOT,13975000,10.34483,208,104,0.45045
Tim Thomas,2006,Chicago Bulls,13975000,4.33333,208,104,0.40625
Tim Thomas,2006,Phoenix Suns,13975000,11.03846,208,104,0.45268
Tim Thomas,2007,Los Angeles Clippers,5215000,11,208,104,0.40701
Tim Thomas,2008,Los Angeles Clippers,5632200,12.38095,208,104,0.40206
Tim Thomas,2009,TOT,6049400,8.51562,208,104,0.43705
Tim Thomas,2009,Los Angeles Clippers,6049400,9.5,208,104,0.43182
Tim Thomas,2009,New York Knicks,6049400,9.58333,208,104,0.44631
